Ticker,Name,Market Cap,Price
"RNA","Avidity Biosciences Inc",786269832,20.92
"VXRT","Vaxart Inc",786186152.79,6.43
"WPRT","Westport Innovations Inc",785901697.26,5.455
"BCOR","Blucora Inc",785311023.52,16.22
"CBB","Cincinnati Bell Inc",784176408.4,15.4
"AVXL","Anavex Life Sciences Corporation",783822970.56,11.28
"DNN","Denison Mines Corp",780829164.3,1.15
"INSG","Inseego Corp",779417585.62,7.58
"SLRC","SLR Investment Corp",778444414.92,18.42
"KRP","Kimbell Royalty Partners LP",778390735.86,12.86
"PRMRF","Paramount Resources Ltd - Class A",777978747.48,11.08
"CTLP","Cantaloupe Inc",775824424.83,10.91
"SPWH","Sportsman`s Warehouse Holdings Inc",775628976.02,17.77
"GEO","Geo Group Inc",774714387.87,6.33
"LE","Lands` End Inc",773324491.31,23.69
"CFB","Crossfirst Bankshares Inc",772937703.585,14.985
"GRCL","Gracell Biotechnologies Inc",769532738.288,12.14
"ADAP","Adaptimmune Therapeutics Plc",768135485.1612,4.93
"VBIV","VBI Vaccines Inc",767670213.7,3.02
"GOOD","Gladstone Commercial Corp",767558022.54,21.09
"CVM","Cel-Sci Corp",765598061.42,18.89
"LPG","Dorian LPG Ltd",764268686.8,15.32
"ZOM","Zomedica Corp",759993065.52,0.78
"GPMT","Granite Point Mortgage Trust Inc",758832436.89,13.77
"FFNTF","4Front Ventures Corp (Sub Voting)",758690173.98,1.34
"TSC","Tristate Capital Holdings Inc",755336346.94,22.78
"BOWX","BowX Acquisition Corp - Class A",754687500,12.5
"FVIV-U","Fortress Value Acquisition Corp IV - Units (1 Ord Share Class A & 1/8 War)",753750000,10.05
"TRST","Trustco Bank Corp",752228895.6,7.8
"BTWN","Bridgetown Holdings Ltd - Class A",751179308.9,10.1
"AKTX","Akari Therapeutics Plc",750229724.985,1.95
"SVFA","SVF Investment Corp - Class A",750159375,9.94
"BOAC","Bluescape Opportunities Acquisition Corp - Class A",747984375,9.85
"PRTS","CarParts.com Inc",747358211.46,15.54
